"SynchronousMachine:
ID","SynchronousMachine:
InternalId","SynchronousMachine:
Name","SynchronousMachine:
Parent","SynchronousMachine:
ObjectType","ReactiveCapabilityCurve:
Path","ReactiveCapabilityCurve:
InternalId","ReactiveCapabilityCurve:
Name","SynchronousMachine:
ReactiveCapabilityCurveMemberOfSynchronousMachine:
ReactiveCapabilityCurve:
ID","ReactiveCapabilityCurve:
Parent","ReactiveCapabilityCurve:
ObjectType"
_3e1ee8d1-c8a8-41c7-b6f3-b6de4d91b873,751225,UN-01,_693c043f-b157-4db5-afb1-6540a25387b0,SynchronousMachine,Network/.MVAr Capability Curves/01AMD-U1,751262,01AMD-U1,_68d14d18-55e5-4a8c-ab05-3ec14546755a,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_db3b0254-8a6d-4fb1-be4d-baba089a5b2d,751227,UN-02,_693c043f-b157-4db5-afb1-6540a25387b0,SynchronousMachine,Network/.MVAr Capability Curves/01AMD-U2,751268,01AMD-U2,_16d026eb-1aa0-4074-adf9-7281e5962f0f,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_b0a4f5be-3d25-4b11-aba0-0307e9d91841,751229,UN-03,_693c043f-b157-4db5-afb1-6540a25387b0,SynchronousMachine,Network/.MVAr Capability Curves/01AMD-U3,751274,01AMD-U3,_443c0370-6d49-4aae-b984-00f7f4ecfeb4,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_6c8a2f35-27e1-4cf3-ae6c-cc68b5e7c8b7,758581,UN-01,_33844c00-b9a8-4ed9-9492-f145e7564f1e,SynchronousMachine,Network/.MVAr Capability Curves/01ARA-U1,758860,01ARA-U1,_ea3642f9-d968-4f8c-a376-3edf42f21e32,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_2ea323ec-6972-4786-9e9c-57bb556bacd1,761386,UN-01,_9bab7977-fa8f-4528-a114-c009a69c6a47,SynchronousMachine,Network/.MVAr Capability Curves/01ATE-U1,761611,01ATE-U1,_6caf0a6e-b535-4393-8cdc-87ce506b931a,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_98118340-a761-44e4-8fe1-944932e60e9b,775345,UN-01,_9425b4d8-d4f4-457b-a731-5ad4bf9fe465,SynchronousMachine,Network/.MVAr Capability Curves/01COA-U1,775582,01COA-U1,_2180ce3a-1540-465f-9729-956c8160281a,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_693fa8db-f463-47d5-88d0-05b90da51310,780980,UN-01,_082fbee0-c612-4a42-9076-f8d29574c8a9,SynchronousMachine,Network/.MVAr Capability Curves/01CRU-U1,781405,01CRU-U1,_6fe627ad-9562-4e93-8b40-150f8d342322,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_715784dd-bced-45db-b036-74e6842b65e0,783991,UN-01,_c92cd47c-99de-43a8-ac99-eda5afdeb4b1,SynchronousMachine,Network/.MVAr Capability Curves/01CTT-U1,784219,01CTT-U1,_5fa0b4dc-6d02-4f06-9c9e-f3beb2ffe9a9,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_a3024412-6c5d-4cb9-9275-d6586f9ff2e7,792354,UN-01,_fcdffa1e-1673-4ba6-9331-44b576cf5073,SynchronousMachine,Network/.MVAr Capability Curves/01CYO-U1,792578,01CYO-U1,_7729e207-38dc-4665-a0e7-1cc7840f4f2c,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_c7461a43-5b2a-4a33-b186-0c43b7f087b5,792356,UN-02,_fcdffa1e-1673-4ba6-9331-44b576cf5073,SynchronousMachine,Network/.MVAr Capability Curves/01CYO-U2,792584,01CYO-U2,_93060267-0dc4-4bb3-a1e7-4795c5655261,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
