"VoltageLevel:
ID","VoltageLevel:
InternalId","VoltageLevel:
Name","VoltageLevel:
Parent","VoltageLevel:
ObjectType","BaseVoltage:
Path","BaseVoltage:
InternalId","BaseVoltage:
Name","VoltageLevel:
VoltageLevelHasABaseVoltage:
BaseVoltage:
ID","BaseVoltage:
Parent","BaseVoltage:
ObjectType"
_d21a08d7-1fb2-4ad0-9f39-82232e0e42af,748820,23,_7d7a6334-8057-441f-bd52-1ff71bf4d179,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_24ffac54-fdcf-4d65-8102-3142cbf83505,748845,85,_7d7a6334-8057-441f-bd52-1ff71bf4d179,VoltageLevel,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_53cf2ab1-806d-4b80-bf4f-3a1d5a9edf78,749189,85,_bb532713-06cd-4dd0-a232-5a6d5eb5e2e4,VoltageLevel,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_ac2985e2-f3f7-4ad0-849c-9852154fd773,749332,85,_a1390d39-6dfe-41e5-a60a-aac4cf477237,VoltageLevel,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_bda01895-eadb-4eb9-8de2-e5a12e2c4eec,749465,85,_d8d591f7-44c5-49d0-8b42-945efe1b3e9d,VoltageLevel,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_da7a5d8a-fa79-43d2-9eae-9626c98485e8,749613,230,_136bb263-ac25-45b5-b74d-a87cb811dac3,VoltageLevel,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_ed7dd372-b4b9-4aeb-9cc2-d0c13bc652a3,749689,23,_136bb263-ac25-45b5-b74d-a87cb811dac3,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_8c453211-7915-4861-975a-e93042f551ff,749835,230,_46ba434b-8b3a-480b-a795-a6874fba4240,VoltageLevel,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_dcaabd70-41d7-4f8d-8680-963a3f645282,749934,13.8,_46ba434b-8b3a-480b-a795-a6874fba4240,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_b5bf8ad7-e924-4dee-a1c9-6e1e287cff12,749947,34.5,_46ba434b-8b3a-480b-a795-a6874fba4240,VoltageLevel,Network/.Base Voltages/Base 34.5,590833,Base 34.5,_7dde2c76-fed1-4a2d-a4af-f360553c43f3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_e2179beb-8a4e-4185-b17a-cd61d50dfb78,750306,230,_ddbe978c-2d0e-46e8-b8d5-b81e98f449df,VoltageLevel,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_587ec8b8-789e-4721-976c-2c432e0d93f7,750453,23,_ddbe978c-2d0e-46e8-b8d5-b81e98f449df,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_f819d955-5555-412c-a6a0-e7e91ef08029,750740,85,_104abf34-8bf3-4da6-9df0-08cbe8cf23ef,VoltageLevel,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_ac66defd-af0d-45ea-b354-94fcaa6bc024,750802,23,_104abf34-8bf3-4da6-9df0-08cbe8cf23ef,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_8d2202c3-01ba-498e-ae46-d6ac8fd60051,751067,85,_d5a60a5d-315f-4b38-918d-aebfdb89da77,VoltageLevel,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_693c043f-b157-4db5-afb1-6540a25387b0,751215,6,_ab7364ab-6a20-48ee-bcb3-55a539da9707,VoltageLevel,Network/.Base Voltages/Base 6,590821,Base 6,_a7f03201-af56-4b3e-90fa-8d8a65619103,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_1ba2fa8a-2133-4197-b953-0a4da9eb20a1,751231,23,_ab7364ab-6a20-48ee-bcb3-55a539da9707,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_a676292c-0e4c-4c02-9698-80ff2647b87d,757235,400,_bc0458aa-e6ec-4f09-b6a3-5d83a178a55a,VoltageLevel,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_8b1557cd-9e8d-4dff-badb-c2235a5bd103,757303,85,_b2b4f0cd-2802-4fa5-86ee-04a6624e0b61,VoltageLevel,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_b7f5adb4-a482-4da2-9ca4-9ea111bbb2ab,757322,23,_b2b4f0cd-2802-4fa5-86ee-04a6624e0b61,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_9296a3f0-c0ec-463b-af1f-be6b20e9992a,757445,85,_08c12709-7830-4b41-ab18-0b4e86f6005b,VoltageLevel,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_166bb403-f3dd-4b5b-a6a5-df8257b5f120,757517,23,_08c12709-7830-4b41-ab18-0b4e86f6005b,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_150fb326-6df0-469b-bfb9-76a7ea9055ed,758031,85,_a60f4223-9870-4666-9dee-b09e2b96c8c4,VoltageLevel,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_e11644d3-7173-43b1-a847-532fdebcbbad,758223,230,_a60f4223-9870-4666-9dee-b09e2b96c8c4,VoltageLevel,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_04f6477a-b2ee-4f1a-bf01-cef28287baa9,758451,85,_91f30831-7426-4b97-b879-324465672079,VoltageLevel,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_33844c00-b9a8-4ed9-9492-f145e7564f1e,758573,13.8,_91f30831-7426-4b97-b879-324465672079,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_979352a2-fd7b-48c2-8963-26a1be2e8e23,758583,23,_91f30831-7426-4b97-b879-324465672079,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_3855e1b2-7187-43c4-845b-06adac836bc0,760690,230,_57cd39d5-6610-41ec-977b-210f3adf6ab1,VoltageLevel,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_2f292d3e-312f-47f1-852a-d66c45f33c63,760803,230,_ec8bd6dc-e31d-4c61-aa30-8e048d5fe817,VoltageLevel,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_f8f84e2b-ec57-43f0-ab86-068e8729a537,760827,23,_ec8bd6dc-e31d-4c61-aa30-8e048d5fe817,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_de4f1de7-42ce-4ac1-b1f7-bcf9b55b7492,761066,85,_312cbc31-b6c9-4f46-902f-478647c99b8c,VoltageLevel,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_a063cca6-582d-43b2-8eac-6ee2d405e13b,761228,230,_312cbc31-b6c9-4f46-902f-478647c99b8c,VoltageLevel,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_9bab7977-fa8f-4528-a114-c009a69c6a47,761378,13.8,_312cbc31-b6c9-4f46-902f-478647c99b8c,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_779418b7-8112-49c1-be44-22fbad233cfa,761388,23,_312cbc31-b6c9-4f46-902f-478647c99b8c,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_a9a1d224-a0f8-4d0b-beb0-e5a8acaf06c5,763175,230,_b4a4afd2-068e-4350-b0f1-66b2a6aa00b6,VoltageLevel,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_1f7734de-6e6c-4ea1-8b79-5c17921e1a75,763275,23,_b4a4afd2-068e-4350-b0f1-66b2a6aa00b6,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_4644522f-05eb-43fe-ad59-5c96e4d5ecd3,763682,230,_3771b127-6ba8-4e93-9b6a-19f2b9f37357,VoltageLevel,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_fa34c0dd-a091-4212-8efa-2718a579cabf,763743,23,_3771b127-6ba8-4e93-9b6a-19f2b9f37357,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_2a2e8ae2-0a8b-4f12-8d9b-e155b977a2ea,764008,85,_c273232e-806b-48fc-9ebb-82d0cf423644,VoltageLevel,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_a2907d01-da84-4fe1-a358-bd529a701ae6,764156,85,_e6720ac1-da13-416a-8dc5-dd7703046be7,VoltageLevel,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_7a5c49e4-ed25-4cdb-8c3a-615b82feb3fb,764267,230,_e6720ac1-da13-416a-8dc5-dd7703046be7,VoltageLevel,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_38bcbf52-ac4d-49c9-9fa0-810225c44d02,764492,23,_e6720ac1-da13-416a-8dc5-dd7703046be7,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_5d36e997-9e87-455b-b684-066a55e5f4bd,764983,85,_caa21fd7-b898-43ef-bc79-6a9c15c5ee9c,VoltageLevel,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_7887f674-89b3-4c0e-a153-49cfdf54db3c,765095,230,_caa21fd7-b898-43ef-bc79-6a9c15c5ee9c,VoltageLevel,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_ed8f8bfa-ffb9-4672-b107-b03ada6b2986,765246,23,_caa21fd7-b898-43ef-bc79-6a9c15c5ee9c,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_2d657efc-bbe3-4ad9-8636-4931d34db97c,765710,230,_691a7cd4-cb00-4f3e-9f5b-787661f19261,VoltageLevel,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_765c7896-c847-4c46-9d48-57088a1f36ef,765821,23,_691a7cd4-cb00-4f3e-9f5b-787661f19261,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_59c6aca2-7896-4dc0-973e-65695343f8a1,766223,85,_4eff1be8-fb6e-40a2-9f9f-fa2bfc02807b,VoltageLevel,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_205eb1d2-a117-4e1d-9914-e43d28ef5153,766321,23,_4eff1be8-fb6e-40a2-9f9f-fa2bfc02807b,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_17a191bf-2cc0-42ef-9dd5-fa9fbb4f09bd,766595,230,_29055c28-a075-4814-b1c5-021a58e472ff,VoltageLevel,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_8bf7c240-ccc5-4e16-b165-64aa7d928759,766635,13.8,_29055c28-a075-4814-b1c5-021a58e472ff,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_0917256a-76a0-4b9c-8708-ab18a961b79a,766876,85,_1c47b633-f697-43c0-9c1e-ffdd92e735c6,VoltageLevel,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_b7e8cf7b-66fc-457c-b383-ed8b8abd03aa,767024,230,_86385f96-1f44-4f67-9377-8278b621fbd9,VoltageLevel,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_bff85add-a6d4-4726-886f-17d82e1c26fc,769951,230,_30d0b80a-5b8c-4d94-b47c-a7df556b7ff7,VoltageLevel,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_3218bf12-c95f-4eac-ba79-bacf34213284,770133,400,_30d0b80a-5b8c-4d94-b47c-a7df556b7ff7,VoltageLevel,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_8d1c63fa-de6c-4b49-a76b-aa3f468c770e,770487,85,_0a133952-2d3f-4a5e-915d-8ce65b0c5079,VoltageLevel,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_927e42e1-b455-4af8-bb20-5d25a87af746,770635,85,_2ac2068c-b97f-433c-897c-861f5e93fd2c,VoltageLevel,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_5bafed91-9401-4eca-bdd5-c10bd3d13b2b,770727,23,_2ac2068c-b97f-433c-897c-861f5e93fd2c,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_5e73e518-ee2f-4cd8-84b3-69836ded9511,771247,230,_ed0df968-2c8b-43c5-8a1a-d3668afdea98,VoltageLevel,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_c681a1b6-5880-4ec3-8554-06f3466602d9,771409,230,_3b8f71b6-63b3-44f7-826e-2f66bee5cc55,VoltageLevel,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_e9c0b16d-d3ff-4e09-99a0-24939f1abab3,771468,85,_3b8f71b6-63b3-44f7-826e-2f66bee5cc55,VoltageLevel,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_1214bdd9-4bfb-4661-8dd6-cd1a575002fa,771496,23,_3b8f71b6-63b3-44f7-826e-2f66bee5cc55,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_259bb94d-5da1-4f3f-8981-b7db3a332279,772111,85,_45d7d9bb-085b-41d2-809a-2d1769707c6b,VoltageLevel,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_4de4291a-0779-49ef-9f48-0eba3c62cbc3,772264,230,_04b795a5-2a91-4a6a-8f4f-6686d0efb9f6,VoltageLevel,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_dff46556-2817-4efd-bcc2-95856c88766f,772375,23,_04b795a5-2a91-4a6a-8f4f-6686d0efb9f6,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_769bcde4-f0aa-43bf-b05a-71da92466573,772778,23,_7743c32b-1f3b-4945-b4a2-1360203c000b,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_87aa02a8-8466-4b9a-88eb-4fa32fc3eb35,772785,230,_7743c32b-1f3b-4945-b4a2-1360203c000b,VoltageLevel,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_c154e2e4-2d7b-4cf1-9448-88e86142c7f8,772941,4.16,_1ad0ffc2-01fb-4efe-95b6-2a1417d95a99,VoltageLevel,Network/.Base Voltages/Base 4.16,590834,Base 4.16,_901ae6d2-1095-4583-bfc9-9c7d9306549f,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_a89a2cbb-052e-4093-b2d3-2adc48c0fe85,772954,85,_1ad0ffc2-01fb-4efe-95b6-2a1417d95a99,VoltageLevel,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_722fa0a2-463f-476f-a194-aa47f14e8ce6,773192,85,_fb7d7ef0-969f-4b34-b8c0-5fc4dfac9b6c,VoltageLevel,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_c38ff66f-8c55-4304-8bfc-e6442a18d2a3,773342,230,_fb7d7ef0-969f-4b34-b8c0-5fc4dfac9b6c,VoltageLevel,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_ba0d5363-7fa8-4d15-80f1-31ada9ecec3a,773371,23,_fb7d7ef0-969f-4b34-b8c0-5fc4dfac9b6c,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_5b62715b-e635-4ba4-a1ac-b78f288e9c4d,773943,85,_3197bcce-4e5f-40e4-9547-512f108b36f6,VoltageLevel,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_2978cf28-ede4-4054-84ae-3445cb31041d,774091,230,_2b32e3e6-bba5-480e-8fca-887d51b19459,VoltageLevel,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_d190fcc9-d389-49a4-8f93-8950e58c408c,774127,23,_2b32e3e6-bba5-480e-8fca-887d51b19459,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_ee328919-a831-4184-b984-27a615186d18,774254,230,_e8340665-d238-4ecd-b922-efad4527a818,VoltageLevel,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_3bcd4fb4-f372-4df3-ae2d-d9ac872bcebb,774354,23,_e8340665-d238-4ecd-b922-efad4527a818,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_810bc459-9957-4355-a32c-8780883be9cf,774761,230,_f617b466-18d1-4fd2-aaa0-9800c2e77b52,VoltageLevel,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_562fcc52-b773-45d8-b634-4b7503398deb,774857,23,_f617b466-18d1-4fd2-aaa0-9800c2e77b52,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_0b276ce8-3a4d-4f70-b378-9926721e7d8e,775237,230,_a717c384-b712-4c9b-a457-8e0876358390,VoltageLevel,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_9425b4d8-d4f4-457b-a731-5ad4bf9fe465,775337,13.8,_a717c384-b712-4c9b-a457-8e0876358390,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_48232a09-8035-4b79-8b61-495c3fa0d205,775347,23,_a717c384-b712-4c9b-a457-8e0876358390,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_07c8c394-2cec-4af0-b75d-b736f033425d,777394,230,_44afe934-2b41-45c0-b236-a7aed02bdedb,VoltageLevel,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_6a43815f-9773-4f1d-804d-c73a1a7ae717,777490,23,_44afe934-2b41-45c0-b236-a7aed02bdedb,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
